Rank,Quoted edge(c),Quote YES bid(c),Quote NO bid(c),Best side,Best EV(c),Best nominal EV($),Best fair side(c),Best market target(c),Best reason,YES EV(c),YES fair(c),YES fee(c),YES tox(c),YES inv(c),YES qpen(c),YES queue ahead,YES market target(c),YES reason,NO EV(c),NO fair(c),NO fee(c),NO tox(c),NO inv(c),NO qpen(c),NO queue ahead,NO market target(c),NO reason,Fair YES(c),Fair NO(c),Spread(c),YES bid(c),YES ask(c),NO bid(c),NO ask(c),YES bid size,YES ask size,NO bid size,NO ask size,Tick(c),Vol24h,OI,Hrs->Cutoff,CutoffField,CutoffUTC,Ticker,SeriesURL,SearchText,YES candidate debug,NO candidate debug
1,42.82,18.0,12.0,NO,42.82,21.4088,59.0,12,ev_quote,19.74,41,0.26,3.0,0.0,0.0,0.0,18,ev_quote,42.82,59,0.18,4.0,0.0,0.0,0.0,12,ev_quote,41,59,66,20,86,14,80,1628.0,2.0,0.0,1628.0,1,1408.0,1175.0,2.422595949166667,expected_expiration_time,2026-03-25T02:30:00Z,KXNBA1HTOTAL-26MAR24NOPNYK-122,https://kalshi.com/markets/kxnba1htotal,New Orleans vs New York: First Half Total?,p=18.00|edge=19.74|fee=0.26|tox=3.00|inv=0.00|qpen=0.00|queue=0.00|status=ok,p=12.00|edge=42.82|fee=0.18|tox=4.00|inv=0.00|qpen=0.00|queue=0.00|status=ok
2,34.71,10.0,21.0,NO,34.71,17.3548,59.0,21,ev_quote,27.84,41,0.16,3.0,0.0,0.0,0.0,10,ev_quote,34.71,59,0.29,3.0,0.0,0.0,0.0,21,ev_quote,41,59,65,12,77,23,88,2.0,2.0,0.0,2.0,1,1654.0,1381.0,1.9225630925,expected_expiration_time,2026-03-25T02:00:00Z,KXNBATEAMTOTAL-26MAR24SACCHA-SAC106,https://kalshi.com/markets/kxnbateamtotal,Will Sacramento score over 106.5 points?,p=10.00|edge=27.84|fee=0.16|tox=3.00|inv=0.00|qpen=0.00|queue=0.00|status=ok,p=21.00|edge=34.71|fee=0.29|tox=3.00|inv=0.00|qpen=0.00|queue=0.00|status=ok
3,28.61,33.0,18.0,YES,28.61,14.3065,65.0,33,ev_quote,28.61,65,0.39,3.0,0.0,0.0,0.0,33,ev_quote,13.74,35,0.26,3.0,0.0,0.0,0.0,18,ev_quote,65,35,45,35,80,20,65,6.0,6.0,0.0,6.0,1,1649.0,1649.0,2.422561598055556,expected_expiration_time,2026-03-25T02:30:00Z,KXNBA3PT-26MAR24NOPNYK-NYKJBRUNSON11-3,https://kalshi.com/markets/kxnba3pt,Jalen Brunson: 3+ threes,p=33.00|edge=28.61|fee=0.39|tox=3.00|inv=0.00|qpen=0.00|queue=0.00|status=ok,p=18.00|edge=13.74|fee=0.26|tox=3.00|inv=0.00|qpen=0.00|queue=0.00|status=ok
4,27.82,12.0,42.0,YES,27.82,13.9076,43.0,12,ev_quote,27.82,43,0.18,3.0,0.0,0.0,0.0,12,ev_quote,11.57,57,0.43,3.0,0.0,0.0,0.0,42,ev_quote,43,57,42,14,56,44,86,300.0,300.0,0.0,300.0,1,2505.0,1920.0,1.9225912941666663,expected_expiration_time,2026-03-25T02:00:00Z,KXNBAAST-26MAR24SACCHA-CHAMBRIDGES0-6,https://kalshi.com/markets/kxnbaast,Miles Bridges: 6+ assists,p=12.00|edge=27.82|fee=0.18|tox=3.00|inv=0.00|qpen=0.00|queue=0.00|status=ok,p=42.00|edge=11.57|fee=0.43|tox=3.00|inv=0.00|qpen=0.00|queue=0.00|status=ok
5,21.87,8.0,60.0,YES,21.87,10.9356,33.0,8,ev_quote,21.87,33,0.13,3.0,0.0,0.0,0.0,8,ev_quote,3.58,67,0.42,3.0,0.0,0.0,0.0,60,ev_quote,33,67,28,10,38,62,90,3.0,3.0,0.0,3.0,1,1248.0,1242.0,2.4225617452777777,expected_expiration_time,2026-03-25T02:30:00Z,KXNBA2D-26MAR24NOPNYK-NYKJBRUNSON11,https://kalshi.com/markets/kxnba2d,Jalen Brunson: Double Double,p=8.00|edge=21.87|fee=0.13|tox=3.00|inv=0.00|qpen=0.00|queue=0.00|status=ok,p=60.00|edge=3.58|fee=0.42|tox=3.00|inv=0.00|qpen=0.00|queue=0.00|status=ok
6,20.87,,8.0,NO,20.87,10.4356,32.0,8,ev_quote,,68,,3.69,0.0,,,73,negative_ev,20.87,32,0.13,3.0,0.0,0.0,0.0,8,ev_quote,68,32,15,75,90,10,25,2.0,11.0,0.0,2.0,1,3366.0,2347.0,1.9225630263888889,expected_expiration_time,2026-03-25T02:00:00Z,KXNBATEAMTOTAL-26MAR24SACCHA-CHA124,https://kalshi.com/markets/kxnbateamtotal,Will Charlotte score over 124.5 points?,p=73.00|edge=-9.04|fee=0.34|tox=3.69|inv=0.00|qpen=0.00|queue=0.00|status=edge_fail; p=74.00|edge=-10.03|fee=0.34|tox=3.69|inv=0.00|qpen=0.00|queue=0.00|status=edge_fail; p=75.00|edge=-11.09|fee=0.33|tox=3.69|inv=0.00|qpen=0.07|queue=2.00|status=edge_fail; p=76.00|edge=-12.01|fee=0.32|tox=3.69|inv=0.00|qpen=0.00|queue=0.00|status=edge_fail; p=77.00|edge=-13.00|fee=0.31|tox=3.69|inv=0.00|qpen=0.00|queue=0.00|status=edge_fail; p=78.00|edge=-13.99|fee=0.30|tox=3.69|inv=0.00|qpen=0.00|queue=0.00|status=edge_fail,p=8.00|edge=20.87|fee=0.13|tox=3.00|inv=0.00|qpen=0.00|queue=0.00|status=ok
7,20.58,11.0,59.0,NO,20.58,10.2883,83.0,59,ev_quote,2.16,17,0.17,3.67,0.0,0.0,0.0,11,ev_quote,20.58,83,0.42,3.0,0.0,0.0,0.0,59,ev_quote,17,83,26,13,39,61,87,3.0,15.0,0.0,3.0,1,1887.0,1886.0,4.506362845555556,expected_expiration_time,2026-03-25T04:35:00Z,KXNCAABBGAME-26MAR241935TCUDBP-TCU,https://kalshi.com/markets/kxncaabbgame,TCU vs Dallas Baptist winner?,p=11.00|edge=2.16|fee=0.17|tox=3.67|inv=0.00|qpen=0.00|queue=0.00|status=ok,p=59.00|edge=20.58|fee=0.42|tox=3.00|inv=0.00|qpen=0.00|queue=0.00|status=ok
8,19.11,23.0,34.0,YES,19.11,9.5574,46.0,23,ev_quote,19.11,46,0.31,3.58,0.0,0.0,0.0,23,ev_quote,16.61,54,0.39,3.0,0.0,0.0,0.0,34,ev_quote,46,54,39,25,64,36,75,100.0,371.0,0.0,100.0,1,1000.0,1362.0,1.9224085752777775,expected_expiration_time,2026-03-25T02:00:00Z,KXNCAAMLAXGAME-26MAR24HARBOS-BOS,https://kalshi.com/markets/kxncaamlaxgame,Harvard vs Boston University Winner?,p=23.00|edge=19.11|fee=0.31|tox=3.58|inv=0.00|qpen=0.00|queue=0.00|status=ok,p=34.00|edge=16.61|fee=0.39|tox=3.00|inv=0.00|qpen=0.00|queue=0.00|status=ok
9,18.68,,24.0,NO,18.68,9.3404,46.0,24,ev_quote,,54,,3.71,0.0,,,50,negative_ev,18.68,46,0.32,3.0,0.0,0.0,0.0,24,ev_quote,54,46,22,52,74,26,48,30.0,175.0,0.0,30.0,1,2323.0,2237.0,2.922610546944445,expected_expiration_time,2026-03-25T03:00:00Z,KXNBATEAMTOTAL-26MAR24ORLCLE-ORL108,https://kalshi.com/markets/kxnbateamtotal,Will Orlando score over 108.5 points?,p=50.00|edge=-0.14|fee=0.44|tox=3.71|inv=0.00|qpen=0.00|queue=0.00|status=edge_fail; p=51.00|edge=-1.14|fee=0.44|tox=3.71|inv=0.00|qpen=0.00|queue=0.00|status=edge_fail; p=52.00|edge=-3.14|fee=0.44|tox=3.71|inv=0.00|qpen=1.00|queue=30.00|status=edge_fail; p=53.00|edge=-3.14|fee=0.44|tox=3.71|inv=0.00|qpen=0.00|queue=0.00|status=edge_fail; p=54.00|edge=-4.14|fee=0.43|tox=3.71|inv=0.00|qpen=0.00|queue=0.00|status=edge_fail; p=55.00|edge=-5.14|fee=0.43|tox=3.71|inv=0.00|qpen=0.00|queue=0.00|status=edge_fail,p=24.00|edge=18.68|fee=0.32|tox=3.00|inv=0.00|qpen=0.00|queue=0.00|status=ok
10,18.6,65.0,,YES,18.6,9.3009,87.0,65,ev_quote,18.6,87,0.4,3.0,0.0,0.0,0.0,65,ev_quote,,13,,3.97,0.0,,,9,negative_ev,87,13,22,67,89,11,33,300.0,4.0,0.0,300.0,1,2020.0,1969.0,2.422591978611111,expected_expiration_time,2026-03-25T02:30:00Z,KXNBAREB-26MAR24NOPNYK-NOPTMURPHY25-5,https://kalshi.com/markets/kxnbareb,Trey Murphy III: 5+ rebounds,p=65.00|edge=18.60|fee=0.40|tox=3.00|inv=0.00|qpen=0.00|queue=0.00|status=ok,p=9.00|edge=-0.12|fee=0.14|tox=3.97|inv=0.00|qpen=0.00|queue=0.00|status=edge_fail; p=10.00|edge=-1.13|fee=0.16|tox=3.97|inv=0.00|qpen=0.00|queue=0.00|status=edge_fail; p=11.00|edge=-2.15|fee=0.17|tox=3.97|inv=0.00|qpen=0.00|queue=0.00|status=edge_fail; p=12.00|edge=-3.16|fee=0.18|tox=3.97|inv=0.00|qpen=0.00|queue=0.00|status=edge_fail; p=13.00|edge=-4.17|fee=0.20|tox=3.97|inv=0.00|qpen=0.00|queue=0.00|status=edge_fail; p=14.00|edge=-5.18|fee=0.21|tox=3.97|inv=0.00|qpen=0.00|queue=0.00|status=edge_fail
