
=== START 2026-03-09 23:56:19 ===
CMD: /home/codespace/.python/current/bin/python3 /workspaces/Kalshi_alg/V1.py --ticker KXNHLTOTAL-26MAR09NYRPHI-6 --yes-budget-cents 500 --no-budget-cents 500
23:56:19 INFO START | environment=PROD ticker=KXNHLTOTAL-26MAR09NYRPHI-6 yes_budget_cents=500 no_budget_cents=500 price_structure=linear_cent fractional_trading=False dry_run=False websocket=wss://api.elections.kalshi.com/trade-api/ws/v2
23:56:19 INFO STARTUP_POSITION | contracts=0.00
23:56:19 INFO WS_CONNECTED_AND_SUBSCRIBED
23:56:19 INFO CREATE_OK | side=yes price_dollars=0.5600 remaining_contracts=8.00 order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310
23:56:19 INFO CREATE_OK | side=no price_dollars=0.4000 remaining_contracts=12.00 order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1
23:56:21 INFO AMEND_OK | side=yes price_dollars=0.5400 total_fillable_contracts=9.00 order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310
23:56:21 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=13.00 order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1
23:56:34 INFO QUEUE_POSITION | side=yes order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310 ahead_contracts=150.00
23:56:34 INFO QUEUE_POSITION | side=no order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1 ahead_contracts=0.00
23:56:49 INFO QUEUE_POSITION | side=yes order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310 ahead_contracts=150.00
23:56:49 INFO QUEUE_POSITION | side=no order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1 ahead_contracts=0.00
23:57:05 INFO QUEUE_POSITION | side=yes order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310 ahead_contracts=150.00
23:57:05 INFO QUEUE_POSITION | side=no order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1 ahead_contracts=0.00
23:57:20 INFO QUEUE_POSITION | side=yes order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310 ahead_contracts=150.00
23:57:20 INFO QUEUE_POSITION | side=no order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1 ahead_contracts=0.00
23:57:35 INFO QUEUE_POSITION | side=yes order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310 ahead_contracts=150.00
23:57:35 INFO QUEUE_POSITION | side=no order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1 ahead_contracts=0.00
23:57:50 INFO QUEUE_POSITION | side=yes order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310 ahead_contracts=150.00
23:57:50 INFO QUEUE_POSITION | side=no order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1 ahead_contracts=0.00
23:58:05 INFO QUEUE_POSITION | side=yes order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310 ahead_contracts=150.00
23:58:05 INFO QUEUE_POSITION | side=no order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1 ahead_contracts=0.00
23:58:20 INFO QUEUE_POSITION | side=yes order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310 ahead_contracts=150.00
23:58:20 INFO QUEUE_POSITION | side=no order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1 ahead_contracts=0.00
23:58:30 INFO AMEND_OK | side=yes price_dollars=0.5300 total_fillable_contracts=9.00 order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310
23:58:30 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=12.00 order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1
23:58:35 INFO QUEUE_POSITION | side=yes order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310 ahead_contracts=4125.00
23:58:35 INFO QUEUE_POSITION | side=no order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1 ahead_contracts=0.00
23:58:36 INFO AMEND_OK | side=yes price_dollars=0.5400 total_fillable_contracts=9.00 order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310
23:58:37 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=13.00 order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1
23:58:38 INFO AMEND_OK | side=yes price_dollars=0.5300 total_fillable_contracts=9.00 order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310
23:58:50 INFO AMEND_OK | side=yes price_dollars=0.5200 total_fillable_contracts=9.00 order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310
23:58:50 INFO QUEUE_POSITION | side=yes order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310 ahead_contracts=0.00
23:58:50 INFO QUEUE_POSITION | side=no order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1 ahead_contracts=0.00
23:58:51 INFO AMEND_OK | side=yes price_dollars=0.5300 total_fillable_contracts=9.00 order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310
23:58:59 INFO AMEND_OK | side=yes price_dollars=0.5400 total_fillable_contracts=9.00 order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310
23:59:00 INFO AMEND_OK | side=yes price_dollars=0.5300 total_fillable_contracts=9.00 order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310
23:59:05 INFO QUEUE_POSITION | side=yes order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310 ahead_contracts=4125.00
23:59:05 INFO QUEUE_POSITION | side=no order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1 ahead_contracts=0.00
23:59:20 INFO QUEUE_POSITION | side=yes order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310 ahead_contracts=4125.00
23:59:20 INFO QUEUE_POSITION | side=no order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1 ahead_contracts=0.00
