Quoted edge(c),Quote YES bid(c),Quote NO bid(c),Spread(c),YES bid(c),YES ask(c),NO bid(c),NO ask(c),Tick(c),Vol24h,OI,Hrs->Cutoff,CutoffUTC,Ticker,SeriesURL,SearchText,Theo gross($) if both fill
4,66,30,7,63,70,30,37,1,15106.0,12120.0,1.2538473875,2026-03-10T02:30:00Z,KXNCAAMBSPREAD-26MAR09UNCOMONT-MONT3,https://kalshi.com/markets/kxncaambspread,Montana wins by over 3.5 Points?,2.0
4,36,60,14,29,43,57,71,1,33885.0,17204.0,1.2538473947222222,2026-03-10T02:30:00Z,KXNCAAMBSPREAD-26MAR09UNCOMONT-MONT6,https://kalshi.com/markets/kxncaambspread,Montana wins by over 6.5 Points?,2.0
4,39,57,20,29,49,51,71,1,39358.0,21116.0,1.2538474022222221,2026-03-10T02:30:00Z,KXNCAAMBSPREAD-26MAR09UNCOMONT-MONT9,https://kalshi.com/markets/kxncaambspread,Montana wins by over 9.5 Points?,2.0
4,54,42,2,53,55,45,47,1,50094.0,38858.0,1.2538516866666667,2026-03-10T02:30:00Z,KXNBASPREAD-26MAR09MEMBKN-BKN1,https://kalshi.com/markets/kxnbaspread,Brooklyn wins by over 1.5 Points?,2.0
4,40,56,3,38,41,59,62,1,46960.0,31794.0,1.2538517019444446,2026-03-10T02:30:00Z,KXNBASPREAD-26MAR09MEMBKN-BKN4,https://kalshi.com/markets/kxnbaspread,Brooklyn wins by over 4.5 Points?,2.0
4,36,60,7,32,39,61,68,1,83295.0,57475.0,1.2538517175000001,2026-03-10T02:30:00Z,KXNBASPREAD-26MAR09MEMBKN-MEM2,https://kalshi.com/markets/kxnbaspread,Memphis wins by over 2.5 Points?,2.0
4,68,28,3,66,69,31,34,1,29887.0,16878.0,1.2538517463888887,2026-03-10T02:30:00Z,KXNBATOTAL-26MAR09MEMBKN-225,https://kalshi.com/markets/kxnbatotal,Memphis at Brooklyn: Total Points,2.0
4,58,38,4,56,60,40,44,1,53665.0,30481.0,1.2538517536111113,2026-03-10T02:30:00Z,KXNBATOTAL-26MAR09MEMBKN-228,https://kalshi.com/markets/kxnbatotal,Memphis at Brooklyn: Total Points,2.0
4,35,61,4,33,37,63,67,1,20764.0,12597.0,1.253851763611111,2026-03-10T02:30:00Z,KXNBATOTAL-26MAR09MEMBKN-234,https://kalshi.com/markets/kxnbatotal,Memphis at Brooklyn: Total Points,2.0
4,47,49,2,46,48,52,54,1,74231.0,52492.0,1.2538517738888888,2026-03-10T02:30:00Z,KXNBASPREAD-26MAR09DENOKC-DEN1,https://kalshi.com/markets/kxnbaspread,Denver wins by over 1.5 Points?,2.0
